,GATA3,IL13,IFNg,IL4,IL10,PD1,Perforin,TNF,Ki67
24720 22May15_BCG_027.fcs,424,2350,2160,285,3201,633,3634,2156,1190
"24720 22May15_E,2f,C_028.fcs",397,723,2292,912,1731,644,2788,3999,1397
24720 22May15_SEB_029.fcs,407,4176,2044,351,2917,694,2405,2578,1340
24720 22May15_aNil_026.fcs,429,1069,2377,318,1646,666,2691,1874,1350
28710_3Aug15_BCG_019.fcs,481,4500,2283,287,1987,718,5787,2681,1473
"28710_3Aug15_E,2f,C_020.fcs",403,4263,2029,241,2707,697,2957,1874,1683
28710_3Aug15_SEB_021.fcs,413,4924,1928,267,689,722,2319,2359,2288
28710_3Aug15_aNil_018.fcs,444,1825,2262,354,2529,708,2922,1686,1693
210920 30Sep15_BCG_023.fcs,393,1712,1664,249,1709,710,2310,2558,1172
"210920 30Sep15_E,2f,C_024.fcs",382,1415,1867,807,1190,692,2337,2202,1251
210920 30Sep15_SEB_025.fcs,417,2377,1784,282,858,663,2144,2262,1426
210920 30Sep15_aNil_022.fcs,409,839,1856,403,1478,692,2424,2405,1397
27231 20-Aug-15_BCG_019.fcs,402,5486,3046,302,1101,796,6253,4228,1689
"27231 20-Aug-15_E,2f,C_020.fcs",387,6631,3539,298,886,786,5900,3739,2068
27231 20-Aug-15_Nil_018.fcs,412,2578,3246,443,1983,747,5713,3441,1459
27231 20-Aug-15_SEB_021.fcs,460,6926,2793,427,2364,805,5114,2712,1506
24911 18 may 15_BCG_019.fcs,591,821,2072,271,1172,1239,677,5439,2095
"24911 18 may 15_E,2f,C_020.fcs",506,1069,1832,324,839,1345,738,4652,5147
24911 18 may 15_NIl_018.fcs,585,1014,1917,317,1335,1421,1046,4852,n/a
24911 18 may 15_SEB_021.fcs,333,4662,1220,515,3157,1360,793,1987,2107
24911 18 may 15_zHIV_023.fcs,574,1211,2529,263,1389,1345,888,5616,2040
21981x_BCG_019.fcs,377,860,3686,248,2119,685,4016,4547,1348
"21981x_E,2f,C_020.fcs",376,842,3372,271,2021,681,2877,3649,1440
21981x_SEB_021.fcs,391,4604,3476,270,725,679,3221,4159,1503
21981x_aNil_018.fcs,416,901,3040,275,7463,690,3040,3490,1518
16611_BCG_026.fcs,482,5370,2323,314,1815,631,4811,11507,1728
16611_CD3_027.fcs,463,1576,1683,321,1016,622,3641,3746,1731
16611_aNil_025.fcs,441,1489,1709,481,1839,630,4057,2396,1606
16611_zHIV_028.fcs,453,2882,2323,310,1555,636,5082,3221,1639
120110_Bcg_022.fcs,378,2405,1258,329,1360,697,2048,5925,1588
120110_CD3_023.fcs,411,2056,1350,343,769,679,2076,3266,1576
120110_aNil_021.fcs,386,798,1397,360,1295,649,2103,2457,1627
212130_BCG_030.fcs,405,4547,1728,347,1145,639,3345,6616,1561
212130_CD3_031.fcs,447,1983,1767,336,733,614,2987,3626,1564
212130_aNil_029.fcs,403,1190,1686,313,1244,613,2554,3413,1699
220210_BCG_019.fcs,375,5093,1597,348,810,619,3831,10271,1612
220210_CD3_020.fcs,404,2181,1464,329,1600,707,3583,4481,1649
220210_aNil_018.fcs,384,791,1573,356,1136,617,4781,3975,1529
13110_BCG_019.fcs,443,1867,1902,229,1535,690,2279,3701,1506
13110_CD3_021.fcs,388,835,1979,283,860,671,1652,2539,1297
"13110_E,2f,C_020.fcs",353,644,1764,229,1010,642,1509,2132,1261
13110_Nil_018.fcs,420,532,1983,250,1606,630,2040,3339,1529
24730_BCG_023.fcs,439,524,2091,246,837,611,1360,3942,1523
24730_CD3_025.fcs,497,1931,1798,229,674,676,1906,3547,1603
"24730_E,2f,C_024.fcs",381,499,1506,238,702,617,1600,3095,1456
24730_Nil_022.fcs,445,1515,2257,321,n/a,877,1754,2849,1636
27310_BCG_028.fcs,412,574,1529,215,846,641,1523,3138,1400
27310_CD3_030.fcs,399,546,1386,237,784,641,1227,3406,1337
"27310_E,2f,C_029.fcs",382,552,1506,317,671,718,1748,3022,1384
27310_Nil_027.fcs,415,538,1818,279,684,605,1615,2975,1535
14311_BCG_019.fcs,X,3448,2799,793,4407,641,1270,8716,2029
"14311_E,2f,C_020.fcs",X,7158,3312,814,3894,625,1152,4965,2010
14311_aNil_018.fcs,X,1251,3138,764,3490,707,1132,8697,1998
14311_zCD3_021.fcs,X,1856,2928,559,3201,720,1256,4290,1983
219520_BCG_027.fcs,X,1368,1709,314,1227,657,2037,2107,1350
"219520_E,2f,C_028.fcs",X,2040,1624,475,1801,625,2310,2676,1771
219520_aNil_026.fcs,X,1136,1808,496,1384,646,1983,5509,1538
219520_zCD3_029.fcs,X,2305,1764,356,877,641,2083,3761,1618
110210_BCG_019.fcs,X,3448,2799,793,4407,641,1270,8716,2029
"110210_E,2f,C_020.fcs",X,7158,3312,814,3894,625,1152,4965,2010
110210_aNil_018.fcs,X,1251,3138,764,3490,707,1132,8697,1998
110210_zCD3_021.fcs,X,1856,2928,559,3201,720,1256,4290,1983
220810_BCG_028.fcs,443,9156,1558,n/a,1718,654,1712,5093,1902
220810_CD3_030.fcs,510,1906,1547,271,1397,730,1770,4066,1839
"220810_E,2f,C_029.fcs",414,6762,1652,229,2928,680,2090,6531,2076
220810_Nil_027.fcs,485,1426,1849,540,1712,701,1598,2917,1481
221020_BCG_023.fcs,403,2650,1295,n/a,1751,643,2124,2934,1627
221020_CD3_025.fcs,472,2021,1270,352,765,653,1709,4862,1579
"221020_E,2f,C_024.fcs",403,470,1353,245,1664,683,2595,3701,1696
221020_Nil_022.fcs,446,3619,1386,216,2629,611,1624,4193,1849
221120_BCG_019.fcs,451,6267,1715,n/a,1853,736,2874,3163,1777
221120_CD3_021.fcs,455,1216,1503,229,2346,730,2581,2837,1696
"221120_E,2f,C_020.fcs",404,1086,1621,209,1683,730,2287,3286,1541
221120_Nil_018.fcs,437,931,1801,312,1655,805,2543,2529,1532
112410_BCG_019.fcs,521,7782,293,2837,282,550,2605,3259,2728
112410_CD3_021.fcs,549,2236,251,2653,278,564,2764,2052,2573
"112410_E,2f,C_020.fcs",455,4057,229,2983,365,571,2543,2103,2843
112410_Nil_018.fcs,499,984,1428,3290,332,556,2501,1600,3070
212311_BCG_023.fcs,491,992,217,2896,492,580,5177,1213,2899
212311_CD3_025.fcs,554,1467,331,2956,236,575,5239,1063,2871
"212311_E,2f,C_024.fcs",455,1051,603,2658,1238,586,4947,1110,2788
212311_HIV_026.fcs,446,1718,339,2956,n/a,587,4756,1114,2665
212311_Nil_022.fcs,465,952,272,2967,243,569,5208,1104,2665
20121_BCG_035.fcs,538,3046,2410,360,1462,631,1895,4016,1764
20121_CD3_037.fcs,527,1202,1842,289,1012,673,1804,2424,1777
"20121_E,2f,C_036.fcs",491,1147,2782,430,882,634,1863,3626,1774
20121_aNil_034.fcs,502,914,2529,245,579,638,1744,2905,1674
20121_zHIV_038.fcs,500,1163,2052,283,1172,652,1818,2634,1709
21971x_BCG_031.fcs,471,1946,2452,491,1275,702,1327,2871,1892
21971x_CD3_033.fcs,489,1467,2697,388,1091,710,1424,3151,2181
"21971x_E,2f,C_032.fcs",450,1147,3273,245,1547,682,1335,4176,2040
21971x_aNil_030.fcs,463,960,2782,275,1939,705,1292,3686,1920
110720_BCG_023.fcs,538,1523,2670,351,1053,752,1280,3292,1473
110720_CD3_025.fcs,517,1664,2214,254,743,774,1218,2843,1576
"110720_E,2f,C_024.fcs",492,1004,2177,343,1509,685,1249,3413,1564
110720_aNil_022.fcs,512,839,2103,317,1237,697,1235,3554,1670
119510_BCG_019.fcs,446,1110,3634,261,1748,941,1950,3693,1440
119510_CD3_021.fcs,395,1125,3386,290,2040,954,2495,2534,1655
"119510_E,2f,C_020.fcs",438,1172,4801,381,1266,684,1804,6896,1594
119510_aNil_018.fcs,491,1061,3823,333,1386,727,2119,3413,1415
111511_BCG_027.fcs,671,2072,2337,226,649,727,1501,2849,1818
"111511_E,2f,C_029.fcs",700,644,2236,639,1825,760,1437,2480,2052
111511_aNil_032.fcs,627,1076,2544,359,1195,728,1038,2604,1811
111511_fCD3_028.fcs,617,1696,2202,351,689,735,1251,6792,1751
111511_yHIV_030.fcs,619,1532,2644,316,1822,747,1924,2681,1972
111711_BCG_034.fcs,727,893,2350,396,918,723,4316,2223,1917
"111711_E,2f,C_036.fcs",633,684,2447,374,638,732,4202,1870,1979
111711_aNil_033.fcs,687,1498,2843,275,677,770,5462,2140,1801
111711_fCD3_035.fcs,527,1150,1712,308,871,737,4334,3539,1874
111711_zHIV_037.fcs,653,1405,2373,366,1386,755,4435,2231,2052
10711_BCG_024.fcs,565,641,3532,458,3448,1168,4791,4041,1822
10711_aNil_023.fcs,525,807,4955,n/a,5302,666,4316,5640,1649
"10711_dE,2f,C_025.fcs",487,1920,4057,279,3792,893,4263,7333,1618
10711_eCD3_026.fcs,573,1134,2860,556,4352,1051,3413,3386,3132
10711_fHIV_027.fcs,366,1179,3863,1407,2975,937,4537,6321,1702
13310_BCG_030.fcs,381,808,3942,325,3138,707,2917,1998,2214
13310_aNil_029.fcs,374,725,3926,602,3462,699,3214,3010,1928
"13310_dE,2f,C_031.fcs",374,1186,3769,348,2424,730,2750,2382,1899
13310_eCD3_032.fcs,381,920,3777,451,2424,793,2355,1808,1392
16011_BCG_019.fcs,389,1046,2414,298,3626,666,1292,2624,1292
16011_aNil_018.fcs,398,n/a,2428,282,1979,650,1492,3286,1931
"16011_dE,2f,C_020.fcs",391,1020,2405,388,1968,775,1266,3448,1327
16011_eCD3_021.fcs,405,2609,2534,556,2660,673,1689,3113,1363
16011_fHIV_022.fcs,377,1138,2305,321,1801,677,1899,1771,1371
15910_BCG_019.fcs,550,6028,3253,309,n/a,673,1186,3746,1642
15910_Nil_018.fcs,562,570,3386,354,n/a,661,1457,2288,1705
"15910_cE,2f,C_020.fcs",510,564,3649,314,44119,692,1245,1731,1696
15910_dCD3_021.fcs,477,899,2804,362,671,655,1475,2236,1771
128210 Baseline_BCG_024.fcs,538,2777,1734,354,2060,690,1748,2905,
"128210 Baseline_E,2f,C_025.fcs",490,3448,1593,306,1863,740,1615,3120,
128210 Baseline_Nil_023.fcs,524,962,1885,661,4623,715,1728,2676,
128210 Baseline_fCD3_026.fcs,549,1515,1342,354,3769,707,1570,3366,
228120 Baseline_BCG_019.fcs,461,1032,974,862,57058,984,1165,3145,
"228120 Baseline_E,2f,C_020.fcs",434,2223,964,238,835,1051,1263,3469,
228120 Baseline_Nil_018.fcs,470,1475,1009,286,60785,1310,1211,2442,
228120 Baseline_fCD3_021.fcs,507,2702,976,240,602,1046,1197,5071,
22802x_bcg_019.fcs,455,4528,2297,912,1368,679,1585,4444,1680
"22802x_e,2f,c_020.fcs",450,2634,2292,1099,730,655,1567,2917,1860
22802x_nil_018.fcs,458,2761,2471,835,925,699,1397,2815,1774
22802x_zCD3_021.fcs,497,1751,2297,478,810,692,1295,3462,1624
228220_bcg_023.fcs,431,5039,2310,576,602,663,984,5313,1609
"228220_e,2f,c_024.fcs",412,3095,2457,483,1552,666,1049,3246,1615
228220_nil_022.fcs,438,1410,2428,499,860,725,943,3312,1664
228220_zCD3_025.fcs,426,1464,2185,789,673,762,1078,3497,1582
22762x_BCG_024.fcs,n/a,1020,2428,246,3400,1036,1591,4913,1218
22762x_aNIl_023.fcs,420,1453,2554,309,2319,1223,1639,3448,1278
"22762x_cE,2f,C_025.fcs",n/a,1121,2554,373,1147,1072,1421,6028,1227
22762x_dCD3_026.fcs,468,1541,2396,255,1832,1588,1588,2766,1275
22762x_eHIV_027.fcs,362,1487,2438,385,695,1008,1350,2905,1216
29321_BCG_019.fcs,619,1674,2419,322,1170,650,1606,3386,1410
29321_aNil_018.fcs,1302,1202,2240,286,2033,676,1256,3878,1400
"29321_cE,2f,C_020.fcs",864,1360,2826,384,1633,682,1258,3483,1392
29321_dCD3_021.fcs,524,1397,2111,289,717,641,1376,1976,1230
29321_eHIV_022.fcs,769,1683,2495,383,4662,694,1353,2544,1777
228010_BCG_034.fcs,371,2452,1942,317,920,652,1976,2815,1564
228010_aNil_033.fcs,684,1345,2060,279,2257,718,1953,4272,1588
"228010_cE,2f,C_035.fcs",468,2634,2128,308,1994,694,1751,2963,1555
228010_dCD3_036.fcs,429,2206,1842,282,794,658,1397,1987,1216
228331_BCG_029.fcs,401,6777,1815,402,1305,737,1235,4986,1400
228331_aNIl_028.fcs,454,1652,1798,470,1254,781,1181,2373,1506
"228331_cE,2f,C_030.fcs",398,3777,1906,291,2111,808,1159,4167,1451
228331_dCD3_031.fcs,388,1705,1946,309,1227,710,1174,2270,1270
228331_eHIV_032.fcs,464,1421,1957,359,4924,715,1585,2992,1549
62661x_BCG_029.fcs,365,1564,1758,946,1825,1080,1053,2568,1523
62661x_aNil_028.fcs,394,2148,1658,948,1612,964,1028,3201,1738
"62661x_cE,2f,C_030.fcs",362,1376,1741,945,1541,980,1049,3234,1570
62661x_dCD3_031.fcs,358,1777,1728,933,1808,1063,1072,2911,1523
62682x_BCG_025.fcs,367,1758,1964,546,1512,779,2025,2998,1462
